,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
111,720.765033,0.25306,0.16429,1.342,142.281,2.292,2.286,1.27,1.392,1.51,1.548,0.965,0.991,0.965,0.932,0.931,82.84358,0.0005
112,717.873945,0.25049,0.15921,1.308,127.733,2.243,2.213,1.268,1.392,1.46,1.49,0.967,0.993,0.965,0.936,0.936,82.88032,0.0005
113,709.915536,0.24217,0.16545,1.333,166.026,2.248,2.223,1.267,1.378,1.459,1.507,0.965,0.988,0.966,0.937,0.935,83.28544,0.0005
114,715.305934,0.23798,0.16072,1.303,133.029,2.241,2.214,1.273,1.385,1.469,1.49,0.967,0.992,0.966,0.936,0.936,81.99024,0.0005
115,708.962206,0.23319,0.16345,1.327,151.154,2.266,2.244,1.272,1.407,1.481,1.524,0.966,0.99,0.965,0.935,0.933,83.81071,0.0005
116,841.70989,0.2288,0.16022,1.307,139.827,2.253,2.23,1.274,1.377,1.47,1.507,0.967,0.992,0.966,0.935,0.934,82.72631,0.0005
117,708.349844,0.22868,0.16097,1.298,133.32,2.235,2.207,1.28,1.421,1.464,1.486,0.967,0.992,0.964,0.936,0.936,81.0147,0.0005
118,707.256145,0.22193,0.16535,1.323,145.026,2.279,2.264,1.281,1.456,1.489,1.542,0.966,0.991,0.963,0.934,0.931,80.96579,0.0005
119,710.812546,0.2147,0.16024,1.288,135.045,2.21,2.175,1.277,1.389,1.435,1.464,0.968,0.992,0.965,0.939,0.938,82.27854,0.0005
120,708.050412,0.20662,0.15501,1.263,121.892,2.195,2.174,1.278,1.344,1.43,1.46,0.969,0.993,0.968,0.939,0.938,82.58516,0.0005
121,712.849202,0.2032,0.15849,1.284,134.834,2.223,2.238,1.286,1.352,1.455,1.539,0.968,0.992,0.968,0.937,0.932,82.53924,0.0005
122,709.008128,0.20029,0.15958,1.265,132.95,2.203,2.177,1.284,1.379,1.442,1.468,0.969,0.993,0.966,0.938,0.938,82.00912,0.0005
123,713.683087,0.19581,0.15687,1.279,132.852,2.216,2.19,1.294,1.352,1.446,1.475,0.968,0.992,0.967,0.938,0.937,80.7099,0.0005
124,711.873035,0.19078,0.16073,1.324,142.949,2.22,2.238,1.3,1.357,1.458,1.519,0.967,0.991,0.967,0.937,0.933,81.72459,0.0005
125,709.135385,0.18548,0.15873,1.262,132.74,2.206,2.201,1.292,1.338,1.443,1.472,0.969,0.992,0.968,0.938,0.937,81.00034,0.0005
126,712.245198,0.18183,0.15787,1.264,124.901,2.22,2.193,1.298,1.405,1.441,1.477,0.969,0.994,0.965,0.938,0.937,81.14161,0.0005
127,711.158528,0.17701,0.15669,1.272,121.348,2.194,2.167,1.308,1.351,1.431,1.461,0.969,0.994,0.967,0.939,0.938,81.64828,0.0005
128,712.40061,0.17166,0.15693,1.267,121.45,2.203,2.182,1.296,1.325,1.435,1.466,0.969,0.994,0.969,0.939,0.938,81.02586,0.0005
129,715.440103,0.16811,0.15365,1.269,115.429,2.179,2.152,1.296,1.386,1.415,1.447,0.969,0.994,0.966,0.94,0.939,82.98677,0.0005
130,714.401077,0.16384,0.15818,1.286,135.31,2.195,2.171,1.288,1.393,1.427,1.472,0.968,0.992,0.965,0.939,0.937,82.9122,0.0005
131,707.461745,0.15873,0.15565,1.245,128.821,2.205,2.181,1.29,1.349,1.433,1.468,0.97,0.993,0.968,0.939,0.938,82.20233,0.0005
132,708.229601,0.15647,0.15358,1.286,115.563,2.179,2.153,1.289,1.32,1.428,1.452,0.968,0.994,0.969,0.939,0.939,79.75542,0.0005
133,707.534562,0.15281,0.15982,1.267,135.602,2.209,2.167,1.283,1.33,1.433,1.457,0.969,0.992,0.968,0.939,0.939,81.96964,0.0005
134,715.726925,0.1503,0.15253,1.208,115.837,2.178,2.15,1.286,1.354,1.416,1.445,0.972,0.994,0.968,0.94,0.94,81.72699,0.0005
135,714.341493,0.14615,0.15473,1.217,121.909,2.188,2.159,1.278,1.335,1.425,1.456,0.971,0.994,0.968,0.94,0.939,81.66487,0.0005
136,713.325119,0.14421,0.1539,1.246,117.799,2.179,2.155,1.268,1.301,1.421,1.454,0.97,0.994,0.97,0.94,0.94,81.33373,0.0005
137,714.454716,0.14124,0.15402,1.213,116.973,2.179,2.15,1.279,1.431,1.416,1.45,0.971,0.994,0.964,0.94,0.939,82.58492,0.0005
138,713.279156,0.13728,0.15132,1.25,112.32,2.181,2.161,1.272,1.296,1.415,1.452,0.97,0.994,0.97,0.94,0.939,82.7584,0.0005
139,718.528237,0.1364,0.15227,1.21,111.451,2.185,2.164,1.263,1.323,1.418,1.458,0.972,0.995,0.969,0.94,0.938,82.2791,0.0005
